Protein	EC number
Q39165	non Enzyme
Q9S3R8	non Enzyme
Q9S3R9	non Enzyme
P0DKL2	non Enzyme
O15973	non Enzyme
P58874	non Enzyme
Q45460	non Enzyme
Q45462	non Enzyme
Q06810	non Enzyme
Q8WTE7	non Enzyme
O46077	non Enzyme
Q13607	non Enzyme
A6NH00	non Enzyme
P81915	non Enzyme
P47888	non Enzyme
Q9V9I2	non Enzyme
P81917	non Enzyme
Q8NGQ2	non Enzyme
O76100	non Enzyme
F5HDE4	non Enzyme
Q9SYB5	non Enzyme
P68874	non Enzyme
Q9Z176	non Enzyme
Q7YXD4	non Enzyme
P86525	non Enzyme
Q9UW12	non Enzyme
P16256	non Enzyme
Q3HS83	non Enzyme
P21769	non Enzyme
F4KCL7	non Enzyme
Q8IZS5	non Enzyme
F4HNU8	non Enzyme
P90680	non Enzyme
P30953	non Enzyme
Q8WZA6	non Enzyme
Q6IEV9	non Enzyme
Q8NGB6	non Enzyme
Q8N0Y3	non Enzyme
P0C623	non Enzyme
Q8NGV6	non Enzyme
Q13606	non Enzyme
Q8NGY3	non Enzyme
P82986	non Enzyme
Q15620	non Enzyme
Q9VAZ3	non Enzyme
Q38899	non Enzyme
Q9ZVH3	non Enzyme
Q9P0S3	non Enzyme
Q7XQA6	non Enzyme
Q12375	non Enzyme
Q8GXH3	non Enzyme
Q6ZHJ5	non Enzyme
P10383	non Enzyme
Q9LQY3	non Enzyme
P31363	non Enzyme
B7ZQA9	non Enzyme
P0DKT9	non Enzyme
P0DMT2	non Enzyme
P10226	non Enzyme
Q4QQS8	non Enzyme
P38881	non Enzyme
Q8NGE0	non Enzyme
Q8NGY0	non Enzyme
P58182	non Enzyme
Q8NHC7	non Enzyme
A6NGY5	non Enzyme
Q8NGH8	non Enzyme
A8JF70	non Enzyme
Q94CV1	non Enzyme
Q45330	non Enzyme
O90299	non Enzyme
Q9XVS7	non Enzyme
Q1RMS5	non Enzyme
Q8NGX6	non Enzyme
Q8NGV5	non Enzyme
Q8NGZ3	non Enzyme
Q9UGF5	non Enzyme
Q8VGQ7	non Enzyme
B5MFE9	non Enzyme
Q00650	non Enzyme
E9Q5G7	non Enzyme
Q4R1I4	non Enzyme
Q7XS69	non Enzyme
Q8BQN6	non Enzyme
O14718	non Enzyme
Q8NGS0	non Enzyme
Q8NH92	non Enzyme
Q15612	non Enzyme
Q96R48	non Enzyme
Q9GZK3	non Enzyme
Q9GZK4	non Enzyme
O76002	non Enzyme
Q9VT08	non Enzyme
Q8NGQ1	non Enzyme
Q7LZI4	non Enzyme
Q9NRP0	non Enzyme
Q9LIL4	non Enzyme
Q59WV0	non Enzyme
O13865	non Enzyme
P34653	non Enzyme
P0CD65	non Enzyme
Q5BFB1	non Enzyme
Q58D85	non Enzyme
P22995	non Enzyme
Q94C59	non Enzyme
Q8CEG0	non Enzyme
Q9ZVZ9	non Enzyme
Q9LQU2	non Enzyme
Q6PFP3	non Enzyme
Q7KQM6	non Enzyme
P51524	non Enzyme
Q4Z4D2	non Enzyme
Q9GKQ6	non Enzyme
Q52978	non Enzyme
P07553	non Enzyme
Q6R8G7	non Enzyme
Q7RVX9	non Enzyme
P23836	non Enzyme
Q95152	non Enzyme
Q9FK13	non Enzyme
Q149B8	non Enzyme
Q59X38	non Enzyme
P40005	non Enzyme
Q04493	non Enzyme
O15212	non Enzyme
P41725	non Enzyme
Q15198	non Enzyme
Q7SIF9	non Enzyme
P38855	non Enzyme
Q9BX93	non Enzyme
Q95T64	non Enzyme
P03520	non Enzyme
P20942	non Enzyme
Q8ZMM8	non Enzyme
P16446	non Enzyme
Q9HB20	non Enzyme
P11490	non Enzyme
Q9PWI3	non Enzyme
Q7LZI1	non Enzyme
Q9DBG5	non Enzyme
P58196	non Enzyme
Q9VS97	non Enzyme
P38361	non Enzyme
O34627	non Enzyme
M9MSG8	non Enzyme
P22608	non Enzyme
P21697	non Enzyme
P56513	non Enzyme
P84388	non Enzyme
Q7Z9I1	non Enzyme
Q9M5J9	non Enzyme
P87233	non Enzyme
Q09908	non Enzyme
Q71A39	non Enzyme
Q6K991	non Enzyme
Q8VYN9	non Enzyme
P03421	non Enzyme
Q9IK91	non Enzyme
Q1MTN3	non Enzyme
Q8L5W7	non Enzyme
Q3KNI6	non Enzyme
Q8ITC9	non Enzyme
Q96S96	non Enzyme
Q86BE9	non Enzyme
P40335	non Enzyme
Q03370	non Enzyme
Q8I1Y4	non Enzyme
P46988	non Enzyme
O94307	non Enzyme
Q5A5U6	non Enzyme
O15173	non Enzyme
P00310	non Enzyme
Q9WV95	non Enzyme
Q9QW08	non Enzyme
Q6PEI3	non Enzyme
Q63625	non Enzyme
Q1ZXQ0	non Enzyme
Q9JI48	non Enzyme
P42498	non Enzyme
Q5SW28	non Enzyme
Q9ZVX8	non Enzyme
Q59PW0	non Enzyme
Q5S2C3	non Enzyme
Q58EX7	non Enzyme
P82596	non Enzyme
Q04004	non Enzyme
P78926	non Enzyme
Q9SHJ6	non Enzyme
Q9LUV1	non Enzyme
P83326	non Enzyme
P32903	non Enzyme
B6ZJZ9	non Enzyme
P34995	non Enzyme
Q62053	non Enzyme
Q6H236	non Enzyme
Q99MR1	non Enzyme
P10834	non Enzyme
Q05568	non Enzyme
Q9FNP1	non Enzyme
Q9XF57	non Enzyme
Q5ACL7	non Enzyme
Q8GXC2	non Enzyme
Q53GA4	non Enzyme
P11394	non Enzyme
Q55434	non Enzyme
P06595	non Enzyme
Q9ZS62	non Enzyme
Q8WWB5	non Enzyme
Q02GC2	non Enzyme
P14714	non Enzyme
Q9VD09	non Enzyme
P02816	non Enzyme
Q9JKL1	non Enzyme
Q9H875	non Enzyme
P96285	non Enzyme
Q9Z239	non Enzyme
P55065	non Enzyme
Q91VC4	non Enzyme
Q07930	non Enzyme
Q9P7Q8	non Enzyme
A4D2B8	non Enzyme
Q9S9N6	non Enzyme
Q8RXS1	non Enzyme
Q14863	non Enzyme
P36040	non Enzyme
Q91X05	non Enzyme
P27953	non Enzyme
C0HJY4	non Enzyme
Q54M25	non Enzyme
Q6PEZ8	non Enzyme
P87060	non Enzyme
Q9VL84	non Enzyme
Q9LN01	non Enzyme
Q6ZMI0	non Enzyme
Q3E6Q1	non Enzyme
O23277	non Enzyme
Q86XR5	non Enzyme
P31133	non Enzyme
P22009	non Enzyme
Q62084	non Enzyme
Q9NXH3	non Enzyme
O82380	non Enzyme
Q9SUH6	non Enzyme
Q9W2U4	non Enzyme
Q10218	non Enzyme
Q9Z2E4	non Enzyme
Q10451	non Enzyme
P04284	non Enzyme
O80805	non Enzyme
Q9D4H9	non Enzyme
Q53I06	non Enzyme
O80839	non Enzyme
P81765	non Enzyme
P29984	non Enzyme
P04332	non Enzyme
Q96A00	non Enzyme
O22137	non Enzyme
Q9STF3	non Enzyme
Q9M3A8	non Enzyme
Q9M1V3	non Enzyme
Q0WLC6	non Enzyme
Q9SZT8	non Enzyme
Q9S720	non Enzyme
Q86LG1	non Enzyme
Q60465	non Enzyme
Q6P1B3	non Enzyme
Q60GF7	non Enzyme
Q3MUY2	non Enzyme
P27381	non Enzyme
Q3TB82	non Enzyme
Q9UPG8	non Enzyme
Q12017	non Enzyme
Q90WP7	non Enzyme
Q9C9N6	non Enzyme
P79746	non Enzyme
Q9W123	non Enzyme
P40473	non Enzyme
P53808	non Enzyme
L7N675	non Enzyme
O95428	non Enzyme
Q00433	non Enzyme
O36005	non Enzyme
Q93ZF5	non Enzyme
P23620	non Enzyme
P0C799	non Enzyme
O77560	non Enzyme
Q83WB2	non Enzyme
O09101	non Enzyme
Q6UQ28	non Enzyme
O88492	non Enzyme
O74653	non Enzyme
Q7RWW0	non Enzyme
Q07951	non Enzyme
Q8K4G9	non Enzyme
Q9P7W4	non Enzyme
P84389	non Enzyme
Q13401	non Enzyme
O14044	non Enzyme
Q9LUV2	non Enzyme
P13794	non Enzyme
Q7Y211	non Enzyme
Q79FI9	non Enzyme
Q8H0T6	non Enzyme
Q10124	non Enzyme
P93829	non Enzyme
Q8AYI2	non Enzyme
P48785	non Enzyme
Q62100	non Enzyme
P53174	non Enzyme
Q8T8M2	non Enzyme
Q90482	non Enzyme
Q9FPW6	non Enzyme
A2CEH0	non Enzyme
Q9UHV8	non Enzyme
Q9XIL5	non Enzyme
Q8TF05	non Enzyme
P82538	non Enzyme
P34207	non Enzyme
P28493	non Enzyme
Q9VAF7	non Enzyme
P79373	non Enzyme
Q90Z06	non Enzyme
P19782	non Enzyme
P07978	non Enzyme
P0C1R0	non Enzyme
Q8BII1	non Enzyme
P49960	non Enzyme
O06581	non Enzyme
Q96HE9	non Enzyme
Q0D3B6	non Enzyme
Q5FWE3	non Enzyme
O75167	non Enzyme
P00312	non Enzyme
P00311	non Enzyme
Q7XL73	non Enzyme
H2KYP0	non Enzyme
C7G0B5	non Enzyme
P01832	non Enzyme
Q2YFS3	non Enzyme
Q9NWT1	non Enzyme
Q9H4M7	non Enzyme
P42570	non Enzyme
F4K5K6	non Enzyme
Q6F4C6	non Enzyme
P87284	non Enzyme
Q6NKX5	non Enzyme
O22881	non Enzyme
Q9FY75	non Enzyme
Q9FIF7	non Enzyme
P06725	non Enzyme
Q9VDE5	non Enzyme
Q9FYE2	non Enzyme
P40806	non Enzyme
Q05470	non Enzyme
Q96N28	non Enzyme
Q9LNF2	non Enzyme
Q9LU21	non Enzyme
Q6NQ99	non Enzyme
Q66790	non Enzyme
Q6JWV8	non Enzyme
P54309	non Enzyme
Q9M7K4	non Enzyme
Q6S8J3	non Enzyme
Q8N3S3	non Enzyme
P79393	non Enzyme
P34217	non Enzyme
Q99541	non Enzyme
Q94AQ8	non Enzyme
Q04088	non Enzyme
P0AFK9	non Enzyme
Q9CW07	non Enzyme
Q96I34	non Enzyme
Q9FJW6	non Enzyme
Q65179	non Enzyme
Q84LR6	non Enzyme
P29430	non Enzyme
O95685	non Enzyme
O14275	non Enzyme
P21259	non Enzyme
O43071	non Enzyme
P33411	non Enzyme
Q09856	non Enzyme
O13615	non Enzyme
P79522	non Enzyme
O80915	non Enzyme
P49704	non Enzyme
Q03776	non Enzyme
P19954	non Enzyme
Q8RWF0	non Enzyme
Q9SUI4	non Enzyme
P24993	non Enzyme
Q9AR88	non Enzyme
Q9VFS8	non Enzyme
Q9JK23	non Enzyme
P15782	non Enzyme
O60542	non Enzyme
Q9TTY5	non Enzyme
Q6ZW05	non Enzyme
P17251	non Enzyme
Q9C889	non Enzyme
Q07350	non Enzyme
P20053	non Enzyme
P19736	non Enzyme
P48601	non Enzyme
Q9S831	non Enzyme
P15819	non Enzyme
O49347	non Enzyme
Q12146	non Enzyme
Q00887	non Enzyme
Q9FS10	non Enzyme
P26350	non Enzyme
Q14A28	non Enzyme
P92962	non Enzyme
Q9CQW3	non Enzyme
Q12381	non Enzyme
P32524	non Enzyme
Q7SXM7	non Enzyme
P19735	non Enzyme
P47032	non Enzyme
Q20938	non Enzyme
P60128	non Enzyme
P12163	non Enzyme
Q9C774	non Enzyme
Q9BRX5	non Enzyme
Q0DAS9	non Enzyme
Q0IUL4	non Enzyme
O81277	non Enzyme
P31075	non Enzyme
P0DH87	non Enzyme
Q9JK53	non Enzyme
Q9XIK0	non Enzyme
P40968	non Enzyme
Q7JVL3	non Enzyme
Q812A5	non Enzyme
Q9S714	non Enzyme
Q968Z6	non Enzyme
A7Y7W2	non Enzyme
P31788	non Enzyme
Q1DEM0	non Enzyme
O74450	non Enzyme
O49292	non Enzyme
Q8K2H1	non Enzyme
O22212	non Enzyme
Q8TAE6	non Enzyme
O13945	non Enzyme
O75864	non Enzyme
P0C7R1	non Enzyme
Q9LIC6	non Enzyme
Q9FRR1	non Enzyme
Q22006	non Enzyme
O14283	non Enzyme
Q9SUI6	non Enzyme
P74367	non Enzyme
Q8DKM3	non Enzyme
Q3IYV6	non Enzyme
F4J339	non Enzyme
P06222	non Enzyme
Q9C5Z7	non Enzyme
P06507	non Enzyme
Q9ASV6	non Enzyme
O94332	non Enzyme
Q10204	non Enzyme
Q12481	non Enzyme
Q9CYH6	non Enzyme
P22353	non Enzyme
Q96EL3	non Enzyme
Q7Z7F7	non Enzyme
P32611	non Enzyme
Q9Y225	non Enzyme
Q9RUW8	non Enzyme
P43602	non Enzyme
Q682S0	non Enzyme
Q22037	non Enzyme
P46669	non Enzyme
Q8VHM6	non Enzyme
Q9M1J2	non Enzyme
P40016	non Enzyme
P05738	non Enzyme
P32904	non Enzyme
P40993	non Enzyme
Q9H0A6	non Enzyme
Q05635	non Enzyme
Q12338	non Enzyme
Q3B726	non Enzyme
O94616	non Enzyme
Q39212	non Enzyme
Q9H9Y2	non Enzyme
O94444	non Enzyme
P12687	non Enzyme
P09001	non Enzyme
Q9BYD2	non Enzyme
Q9NX20	non Enzyme
Q96A35	non Enzyme
P20084	non Enzyme
Q9BRJ2	non Enzyme
P38022	non Enzyme
Q09191	non Enzyme
Q8WZJ8	non Enzyme
O94285	non Enzyme
P50524	non Enzyme
F4HY56	non Enzyme
Q9BYD6	non Enzyme
Q9BYD3	non Enzyme
Q96GC5	non Enzyme
Q13405	non Enzyme
Q12530	non Enzyme
P85057	non Enzyme
P25367	non Enzyme
Q04571	non Enzyme
Q9LZN0	non Enzyme
P86508	non Enzyme
P36595	non Enzyme
Q92399	non Enzyme
Q54S04	non Enzyme
O81098	non Enzyme
Q8L9P8	non Enzyme
Q12508	non Enzyme
P52198	non Enzyme
Q7YZH1	non Enzyme
Q9GZN7	non Enzyme
Q61G93	non Enzyme
Q9EQ00	non Enzyme
Q5Y808	non Enzyme
P21533	non Enzyme
P60040	non Enzyme
P36516	non Enzyme
Q2TBK2	non Enzyme
Q02204	non Enzyme
Q6P1L8	non Enzyme
Q9BYC8	non Enzyme
O75394	non Enzyme
Q96DB5	non Enzyme
P85053	non Enzyme
P22354	non Enzyme
Q4U2R6	non Enzyme
P53140	non Enzyme
Q0J235	non Enzyme
Q9UTT2	non Enzyme
D0ZSY8	non Enzyme
Q9BU20	non Enzyme
Q6UBQ3	non Enzyme
Q5R328	non Enzyme
Q7XZF5	non Enzyme
P78871	non Enzyme
O42905	non Enzyme
P43333	non Enzyme
Q9USX8	non Enzyme
P15412	non Enzyme
Q12330	non Enzyme
I6X8R5	non Enzyme
P28701	non Enzyme
P55830	non Enzyme
A3DBH1	non Enzyme
A0QTP3	non Enzyme
P12759	non Enzyme
P82919	non Enzyme
Q92552	non Enzyme
Q8WWV3	non Enzyme
P32607	non Enzyme
P00270	non Enzyme
Q96C34	non Enzyme
P06574	non Enzyme
P97347	non Enzyme
P82129	non Enzyme
P0CX39	non Enzyme
P46769	non Enzyme
P82931	non Enzyme
Q9NVS2	non Enzyme
Q5QGT7	non Enzyme
Q86VV8	non Enzyme
P26761	non Enzyme
O13829	non Enzyme
Q9V4Q8	non Enzyme
Q8N2Y8	non Enzyme
P36080	non Enzyme
Q08219	non Enzyme
P46784	non Enzyme
Q42262	non Enzyme
P41057	non Enzyme
O48549	non Enzyme
Q9UHP6	non Enzyme
Q18409	non Enzyme
Q96IZ7	non Enzyme
O15235	non Enzyme
Q9BYN8	non Enzyme
P19955	non Enzyme
P82673	non Enzyme
Q9SS17	non Enzyme
Q3E792	non Enzyme
Q9M2F1	non Enzyme
P0CX33	non Enzyme
P21466	non Enzyme
P55935	non Enzyme
P21467	non Enzyme
P54504	non Enzyme
P17903	non Enzyme
Q02206	non Enzyme
Q9NEW6	non Enzyme
Q01163	non Enzyme
P21771	non Enzyme
Q9ER80	non Enzyme
O94355	non Enzyme
Q08963	non Enzyme
Q93PP8	non Enzyme
P00272	non Enzyme
Q9USZ3	non Enzyme
P25931	non Enzyme
Q9ZPX8	non Enzyme
O94522	non Enzyme
Q9P7W8	non Enzyme
Q04693	non Enzyme
P16181	non Enzyme
O64650	non Enzyme
Q93VG5	non Enzyme
O74964	non Enzyme
P38781	non Enzyme
Q07979	non Enzyme
A0R2D3	non Enzyme
Q6IMB1	non Enzyme
P55128	non Enzyme
O74968	non Enzyme
Q8JGS0	non Enzyme
Q62241	non Enzyme
Q9P794	non Enzyme
P04170	non Enzyme
Q12242	non Enzyme
P54999	non Enzyme
Q8H0W3	non Enzyme
P59889	non Enzyme
Q6RVG2	non Enzyme
P36123	non Enzyme
P04918	non Enzyme
P31532	non Enzyme
Q1RNF8	non Enzyme
Q9NR31	non Enzyme
O22150	non Enzyme
P13458	non Enzyme
P17563	non Enzyme
Q2XVR3	non Enzyme
Q5XPJ6	non Enzyme
Q5SKE6	non Enzyme
Q54KA7	non Enzyme
Q93VR9	non Enzyme
Q10099	non Enzyme
Q9FFD9	non Enzyme
Q9H3T3	non Enzyme
P35541	non Enzyme
Q8ZL64	non Enzyme
Q8VY78	non Enzyme
P89114	non Enzyme
P14693	non Enzyme
Q9SA49	non Enzyme
Q9NJC7	non Enzyme
O64740	non Enzyme
Q19967	non Enzyme
P27922	non Enzyme
P25303	non Enzyme
Q9XE58	non Enzyme
Q9ZWC5	non Enzyme
Q9VTH4	non Enzyme
H1AFJ5	non Enzyme
Q2V2G5	non Enzyme
P59101	non Enzyme
O74861	non Enzyme
P26261	non Enzyme
Q94AU2	non Enzyme
P40357	non Enzyme
P43803	non Enzyme
Q02825	non Enzyme
Q9Y2Q9	non Enzyme
P75892	non Enzyme
Q90415	non Enzyme
Q96BU1	non Enzyme
Q78KK3	non Enzyme
Q9Y2P4	non Enzyme
Q6ZUB1	non Enzyme
P86693	non Enzyme
Q9UQR0	non Enzyme
P0C1X7	non Enzyme
Q9LPW3	non Enzyme
P45843	non Enzyme
P60212	non Enzyme
P49416	non Enzyme
O14113	non Enzyme
P0DKI0	non Enzyme
Q9QX72	non Enzyme
O14029	non Enzyme
Q9HGN7	non Enzyme
Q10491	non Enzyme
P28366	non Enzyme
Q05942	non Enzyme
P25632	non Enzyme
O31655	non Enzyme
Q7L4I2	non Enzyme
Q9Y399	non Enzyme
Q9Y2R9	non Enzyme
O60783	non Enzyme
P42847	non Enzyme
P38175	non Enzyme
Q2M2T7	non Enzyme
Q9BQQ7	non Enzyme
Q8H1S6	non Enzyme
C0SVG5	non Enzyme
Q8VE96	non Enzyme
Q96GZ6	non Enzyme
P48056	non Enzyme
P35542	non Enzyme
P19707	non Enzyme
P50543	non Enzyme
Q9UDX3	non Enzyme
Q9H228	non Enzyme
Q91X56	non Enzyme
Q497L8	non Enzyme
Q9D9E0	non Enzyme
Q80UJ1	non Enzyme
Q6DGU5	non Enzyme
Q8NG04	non Enzyme
Q5I012	non Enzyme
E9Q8Q8	non Enzyme
Q20010	non Enzyme
Q9ZUZ3	non Enzyme
P56678	non Enzyme
O81316	non Enzyme
Q8LAL0	non Enzyme
Q8GXD9	non Enzyme
P80547	non Enzyme
Q2RB59	non Enzyme
O77463	non Enzyme
P27003	non Enzyme
Q9UDX4	non Enzyme
Q9H1N7	non Enzyme
Q96JT2	non Enzyme
Q9D6X5	non Enzyme
Q3U2P1	non Enzyme
P16933	non Enzyme
P69486	non Enzyme
Q9M5P2	non Enzyme
O35609	non Enzyme
O97741	non Enzyme
P23833	non Enzyme
Q9IAY5	non Enzyme
P36047	non Enzyme
P38164	non Enzyme
O23264	non Enzyme
O13637	non Enzyme
Q09948	non Enzyme
Q10412	non Enzyme
P40018	non Enzyme
Q803F6	non Enzyme
Q15404	non Enzyme
P82675	non Enzyme
Q8VZT8	non Enzyme
P12686	non Enzyme
P82663	non Enzyme
Q9NP92	non Enzyme
Q9JIK9	non Enzyme
Q02950	non Enzyme
D5K228	non Enzyme
O75298	non Enzyme
Q12443	non Enzyme
Q6IDD9	non Enzyme
G5EBF1	non Enzyme
P46350	non Enzyme
Q90417	non Enzyme
Q8IY34	non Enzyme
Q9Z0L1	non Enzyme
Q8IZD6	non Enzyme
Q76M72	non Enzyme
Q6Q0C1	non Enzyme
Q8R139	non Enzyme
Q8TBE7	non Enzyme
Q99K24	non Enzyme
Q6PEH9	non Enzyme
Q9D687	non Enzyme
Q9FMF4	non Enzyme
P17121	non Enzyme
D4GVB0	non Enzyme
Q6NUJ1	non Enzyme
Q9FKH1	non Enzyme
Q99314	non Enzyme
P39735	non Enzyme
Q7SYD5	non Enzyme
O02228	non Enzyme
P45978	non Enzyme
Q9P0W5	non Enzyme
Q9H1X1	non Enzyme
P53330	non Enzyme
P10735	non Enzyme
P82913	non Enzyme
Q9Y3D5	non Enzyme
Q8C6B2	non Enzyme
O70622	non Enzyme
P59025	non Enzyme
Q96NL0	non Enzyme
G5CKU5	non Enzyme
P02634	non Enzyme
P02639	non Enzyme
P79342	non Enzyme
Q9UKG4	non Enzyme
Q9Y2C5	non Enzyme
O88909	non Enzyme
Q07534	non Enzyme
Q8K0H1	non Enzyme
P43612	non Enzyme
Q20733	non Enzyme
P22470	non Enzyme
O64644	non Enzyme
Q9VXB3	non Enzyme
Q7ZVT3	non Enzyme
P59808	non Enzyme
C5J8E3	non Enzyme
P33012	non Enzyme
Q2XVR6	non Enzyme
P26429	non Enzyme
Q63008	non Enzyme
Q9CQS8	non Enzyme
Q99884	non Enzyme
P52871	non Enzyme
Q86SC0	non Enzyme
Q9NBW2	non Enzyme
Q9FQ19	non Enzyme
Q8RWD5	non Enzyme
O32047	non Enzyme
O23342	non Enzyme
Q9NPR2	non Enzyme
Q4V8G5	non Enzyme
O95968	non Enzyme
Q12118	non Enzyme
Q91X43	non Enzyme
A4FU49	non Enzyme
Q96HL8	non Enzyme
Q04172	non Enzyme
P38751	non Enzyme
P03528	non Enzyme
Q14940	non Enzyme
O13736	non Enzyme
Q7T2Q0	non Enzyme
P37194	non Enzyme
O59706	non Enzyme
Q9P7L8	non Enzyme
Q04164	non Enzyme
Q9FQ20	non Enzyme
O46669	non Enzyme
Q00659	non Enzyme
P56743	non Enzyme
P24349	non Enzyme
Q03323	non Enzyme
A6NFY7	non Enzyme
P83411	non Enzyme
Q9UTE3	non Enzyme
Q8JJ26	non Enzyme
P09683	non Enzyme
Q60175	non Enzyme
Q26473	non Enzyme
Q9H3T2	non Enzyme
O43058	non Enzyme
Q5ZMH1	non Enzyme
Q92599	non Enzyme
P13731	non Enzyme
Q10362	non Enzyme
P49955	non Enzyme
Q941A6	non Enzyme
Q07953	non Enzyme
Q9HH83	non Enzyme
Q8R2U0	non Enzyme
Q9C0A6	non Enzyme
Q08648	non Enzyme
P02780	non Enzyme
Q9USW9	non Enzyme
Q4KLP8	non Enzyme
Q8AXU9	non Enzyme
Q91VW3	non Enzyme
Q9QZ28	non Enzyme
O76963	non Enzyme
F4I3Z5	non Enzyme
Q96A28	non Enzyme
Q09761	non Enzyme
Q810B8	non Enzyme
Q5MJP5	non Enzyme
Q8U019	non Enzyme
Q9BVL4	non Enzyme
O14140	non Enzyme
Q6ZU15	non Enzyme
P38166	non Enzyme
C0SP86	non Enzyme
Q9H9B4	non Enzyme
Q96QR1	non Enzyme
O94397	non Enzyme
O09039	non Enzyme
Q9C865	non Enzyme
P38200	non Enzyme
Q9BZQ2	non Enzyme
Q01613	non Enzyme
Q27IV2	non Enzyme
Q2WFL8	non Enzyme
P24616	non Enzyme
P0DOE5	non Enzyme
A6NMB1	non Enzyme
O94494	non Enzyme
Q9V719	non Enzyme
Q99M85	non Enzyme
Q6NZL8	non Enzyme
Q38885	non Enzyme
Q941A0	non Enzyme
P30619	non Enzyme
Q9Y7L0	non Enzyme
O74786	non Enzyme
Q04675	non Enzyme
Q9H7N4	non Enzyme
P0A0J0	non Enzyme
Q9ZSL6	non Enzyme
Q8L607	non Enzyme
P35466	non Enzyme
Q9Y267	non Enzyme
A6NK97	non Enzyme
Q8BGF8	non Enzyme
Q9UUI3	non Enzyme
Q8TDM5	non Enzyme
P43589	non Enzyme
D4GUF6	non Enzyme
O94672	non Enzyme
Q9SFU0	non Enzyme
Q8L611	non Enzyme
P03633	non Enzyme
Q9LP46	non Enzyme
Q08E08	non Enzyme
H2QAR5	non Enzyme
P54178	non Enzyme
Q9SX77	non Enzyme
Q06245	non Enzyme
Q9N4A7	non Enzyme
P39742	non Enzyme
D8WUA4	non Enzyme
Q9AET6	non Enzyme
A5D7Q3	non Enzyme
P33026	non Enzyme
P47872	non Enzyme
P68410	non Enzyme
Q8SZ16	non Enzyme
Q9BRJ7	non Enzyme
O86489	non Enzyme
Q9KI13	non Enzyme
Q9UTB6	non Enzyme
Q8S3U9	non Enzyme
Q9P7V5	non Enzyme
P57772	non Enzyme
Q12369	non Enzyme
Q9R168	non Enzyme
Q4GWU5	non Enzyme
Q652K1	non Enzyme
Q00725	non Enzyme
Q9UUI2	non Enzyme
F4IP13	non Enzyme
F4KG50	non Enzyme
P81238	non Enzyme
E1BDF2	non Enzyme
Q8IW03	non Enzyme
G4V4F9	non Enzyme
O74843	non Enzyme
O60174	non Enzyme
O95104	non Enzyme
P44543	non Enzyme
P0DO98	non Enzyme
L0TCG5	non Enzyme
P03527	non Enzyme
Q45585	non Enzyme
Q9BRV8	non Enzyme
Q9USQ4	non Enzyme
Q8C503	non Enzyme
P32900	non Enzyme
Q9LG97	non Enzyme
Q5E930	non Enzyme
C0HJH4	non Enzyme
Q9P7C8	non Enzyme
P0A3V1	non Enzyme
Q9D489	non Enzyme
O70593	non Enzyme
P50745	non Enzyme
P39000	non Enzyme
Q10321	non Enzyme
Q06236	non Enzyme
Q6P0R8	non Enzyme
P40486	non Enzyme
Q8H2X8	non Enzyme
Q2M3G4	non Enzyme
P53266	non Enzyme
P49140	non Enzyme
Q9Z0K7	non Enzyme
Q02330	non Enzyme
Q7TPF1	non Enzyme
Q7TN29	non Enzyme
O43760	non Enzyme
Q5PRF9	non Enzyme
Q54I18	non Enzyme
G5EBM5	non Enzyme
O75324	non Enzyme
Q16533	non Enzyme
P32568	non Enzyme
Q03782	non Enzyme
O94294	non Enzyme
P40656	non Enzyme
O34853	non Enzyme
Q9VFC2	non Enzyme
Q6NW96	non Enzyme
B7Z0I7	non Enzyme
Q752J8	non Enzyme
Q69XJ0	non Enzyme
Q9P6L8	non Enzyme
Q03707	non Enzyme
C0SPB6	non Enzyme
Q9RY51	non Enzyme
P38871	non Enzyme
P40798	non Enzyme
P38960	non Enzyme
Q9LT15	non Enzyme
P11378	non Enzyme
O74454	non Enzyme
P0AG78	non Enzyme
P33181	non Enzyme
Q95Q00	non Enzyme
P77499	non Enzyme
Q03770	non Enzyme
Q923Q2	non Enzyme
Q80TF6	non Enzyme
Q20977	non Enzyme
Q9M7I9	non Enzyme
Q6EEH1	non Enzyme
P92189	non Enzyme
Q9LMK5	non Enzyme
Q9Y6Q2	non Enzyme
O59782	non Enzyme
Q6EEV6	non Enzyme
Q26627	non Enzyme
Q9VL32	non Enzyme
P38123	non Enzyme
P0DMV3	non Enzyme
Q10668	non Enzyme
Q8BHS8	non Enzyme
Q9JHX2	non Enzyme
Q9ESX2	non Enzyme
O75635	non Enzyme
P35210	non Enzyme
B6VQA5	non Enzyme
O14311	non Enzyme
Q57818	non Enzyme
P16254	non Enzyme
P32342	non Enzyme
P38687	non Enzyme
O82803	non Enzyme
P47758	non Enzyme
Q8GWZ6	non Enzyme
Q8WXF0	non Enzyme
Q3UN54	non Enzyme
Q9P7S3	non Enzyme
Q9CY50	non Enzyme
Q6DBR6	non Enzyme
Q9DGN1	non Enzyme
P43647	non Enzyme
Q38853	non Enzyme
E5AD52	non Enzyme
Q1K6U0	non Enzyme
Q91453	non Enzyme
Q9S758	non Enzyme
Q62266	non Enzyme
O70555	non Enzyme
O13936	non Enzyme
P87152	non Enzyme
Q6Z784	non Enzyme
P49967	non Enzyme
Q20618	non Enzyme
O84944	non Enzyme
Q9UNL2	non Enzyme
P02809	non Enzyme
Q8LG05	non Enzyme
Q0E7J7	non Enzyme
Q94AZ2	non Enzyme
P17306	non Enzyme
Q8VIM6	non Enzyme
