Protein UniProt Acc.	EC Number
Q91620	non Enzyme
Q99643	non Enzyme
Q8IYR6	non Enzyme
P54785	non Enzyme
Q9NRY2	non Enzyme
P26675	non Enzyme
Q8WWQ2	non Enzyme
Q86TG1	non Enzyme
Q65Z15	non Enzyme
O95477	non Enzyme
P21786	non Enzyme
Q9BTV4	non Enzyme
P70661	non Enzyme
P46776	non Enzyme
Q61625	non Enzyme
O36633	non Enzyme
P08640	non Enzyme
O00453	non Enzyme
Q92736	non Enzyme
Q8H8C7	non Enzyme
Q90738	non Enzyme
Q16586	non Enzyme
P21576	non Enzyme
Q9M2R1	non Enzyme
Q03519	non Enzyme
P19634	non Enzyme
P79005	non Enzyme
Q18163	non Enzyme
Q06828	non Enzyme
P02708	non Enzyme
Q12446	non Enzyme
P19338	non Enzyme
Q8JZM4	non Enzyme
O75379	non Enzyme
Q39264	non Enzyme
Q9UJY1	non Enzyme
Q8NA29	non Enzyme
Q924W6	non Enzyme
P32591	non Enzyme
O43524	non Enzyme
Q96DA6	non Enzyme
Q9W0T5	non Enzyme
O77237	non Enzyme
P08921	non Enzyme
P10083	non Enzyme
Q03265	non Enzyme
P63040	non Enzyme
P38932	non Enzyme
O49595	non Enzyme
Q6I7B9	non Enzyme
Q8W4B1	non Enzyme
Q9LHF5	non Enzyme
Q63881	non Enzyme
Q8W496	non Enzyme
Q00839	non Enzyme
Q9BXB4	non Enzyme
P19973	non Enzyme
F4HQA1	non Enzyme
Q9NV29	non Enzyme
Q9BWK5	non Enzyme
D4GZE7	non Enzyme
P30152	non Enzyme
Q6W4X9	non Enzyme
P05120	non Enzyme
Q04671	non Enzyme
P15431	non Enzyme
O14777	non Enzyme
Q24573	non Enzyme
P60896	non Enzyme
P47029	non Enzyme
P01232	non Enzyme
P47037	non Enzyme
Q6ZN18	non Enzyme
Q9HDW8	non Enzyme
P14784	non Enzyme
Q9ULT0	non Enzyme
O70576	non Enzyme
P24849	non Enzyme
P68978	non Enzyme
P19334	non Enzyme
P51679	non Enzyme
Q8GUP1	non Enzyme
Q06647	non Enzyme
Q96FT9	non Enzyme
Q86PC9	non Enzyme
Q7Z4G1	non Enzyme
Q95V55	non Enzyme
Q9Y6Y8	non Enzyme
Q93086	non Enzyme
P35415	non Enzyme
P42845	non Enzyme
Q6RY98	non Enzyme
A0JNT9	non Enzyme
Q9Y5E9	non Enzyme
P09545	non Enzyme
Q8NI22	non Enzyme
Q6J9Q2	non Enzyme
Q9P258	non Enzyme
P62826	non Enzyme
Q9FXD6	non Enzyme
P32338	non Enzyme
P16225	non Enzyme
Q29480	non Enzyme
Q1MSJ5	non Enzyme
Q61412	non Enzyme
P11487	non Enzyme
O74627	non Enzyme
Q9NQ48	non Enzyme
Q92358	non Enzyme
Q96Q42	non Enzyme
Q96HR3	non Enzyme
P61914	non Enzyme
P43897	non Enzyme
Q8NI51	non Enzyme
Q86B79	non Enzyme
P33778	non Enzyme
P29617	non Enzyme
Q93VP2	non Enzyme
Q9FKM2	non Enzyme
P26321	non Enzyme
P01160	non Enzyme
O13821	non Enzyme
P43681	non Enzyme
Q9NR80	non Enzyme
Q24522	non Enzyme
O43918	non Enzyme
Q4FZD7	non Enzyme
P10276	non Enzyme
Q6XJV4	non Enzyme
Q9Y678	non Enzyme
Q9V9Y9	non Enzyme
O69711	non Enzyme
P22814	non Enzyme
P34216	non Enzyme
Q8R5M2	non Enzyme
P42699	non Enzyme
P30261	non Enzyme
Q20701	non Enzyme
Q8IZU3	non Enzyme
Q9BQ89	non Enzyme
Q01466	non Enzyme
P25157	non Enzyme
Q9FEE2	non Enzyme
Q3ZK22	non Enzyme
P32797	non Enzyme
Q80Z64	non Enzyme
P18254	non Enzyme
O95232	non Enzyme
P15498	non Enzyme
Q12416	non Enzyme
Q9WVL3	non Enzyme
P61964	non Enzyme
Q96RL7	non Enzyme
Q12377	non Enzyme
Q9HD67	non Enzyme
Q86V42	non Enzyme
Q5AMQ6	non Enzyme
Q4V328	non Enzyme
Q8L5Y6	non Enzyme
Q13888	non Enzyme
Q01196	non Enzyme
P49257	non Enzyme
Q15836	non Enzyme
Q9ESP5	non Enzyme
P28357	non Enzyme
Q99571	non Enzyme
Q9Z1K7	non Enzyme
P19158	non Enzyme
Q9DBD0	non Enzyme
P40064	non Enzyme
Q5VWG9	non Enzyme
Q9M2N5	non Enzyme
Q02591	non Enzyme
Q8CI19	non Enzyme
Q8VY88	non Enzyme
Q6NKS4	non Enzyme
Q63634	non Enzyme
P07142	non Enzyme
P53276	non Enzyme
P01029	non Enzyme
Q940G0	non Enzyme
Q13201	non Enzyme
P38336	non Enzyme
P78334	non Enzyme
O22208	non Enzyme
Q6U7Q0	non Enzyme
Q8BMP6	non Enzyme
Q9NRW7	non Enzyme
Q9FY93	non Enzyme
P01948	non Enzyme
P01089	non Enzyme
Q9QYH9	non Enzyme
Q9GL27	non Enzyme
Q7Z3I7	non Enzyme
Q09704	non Enzyme
P02753	non Enzyme
Q6E0U4	non Enzyme
Q02629	non Enzyme
Q9WUL7	non Enzyme
P27467	non Enzyme
Q8VBX6	non Enzyme
P50105	non Enzyme
Q558Z2	non Enzyme
Q5JXC2	non Enzyme
Q96GN5	non Enzyme
Q00647	non Enzyme
Q8IZ41	non Enzyme
Q9SA23	non Enzyme
Q03435	non Enzyme
P97299	non Enzyme
Q7SIC1	non Enzyme
P48432	non Enzyme
P00579	non Enzyme
Q8S944	non Enzyme
Q9NQW6	non Enzyme
Q9BPX3	non Enzyme
Q9NZN5	non Enzyme
Q08830	non Enzyme
P57088	non Enzyme
P0CE41	non Enzyme
Q86VW0	non Enzyme
Q5TD94	non Enzyme
Q00610	non Enzyme
Q9VKQ9	non Enzyme
P18409	non Enzyme
Q9BZV2	non Enzyme
Q10198	non Enzyme
P25623	non Enzyme
P62273	non Enzyme
Q8NGS4	non Enzyme
O88382	non Enzyme
Q9BXM0	non Enzyme
Q9BY79	non Enzyme
Q9D5T7	non Enzyme
O22921	non Enzyme
Q6UXB8	non Enzyme
P20840	non Enzyme
P14429	non Enzyme
Q9Y5X5	non Enzyme
O59740	non Enzyme
O95429	non Enzyme
Q9Y2F5	non Enzyme
Q60837	non Enzyme
Q9VR52	non Enzyme
P15622	non Enzyme
Q9H6L4	non Enzyme
P22666	non Enzyme
Q5HZG4	non Enzyme
P33421	non Enzyme
P39014	non Enzyme
O04714	non Enzyme
Q9HBI1	non Enzyme
P43648	non Enzyme
Q9H5V8	non Enzyme
P23301	non Enzyme
Q5T3J3	non Enzyme
Q27237	non Enzyme
P32802	non Enzyme
Q9UID3	non Enzyme
P55854	non Enzyme
P70314	non Enzyme
Q41932	non Enzyme
Q24434	non Enzyme
Q8VDD8	non Enzyme
Q9UKZ9	non Enzyme
Q3YEC7	non Enzyme
Q9HBX8	non Enzyme
F4JQZ3	non Enzyme
Q9Y462	non Enzyme
P0CX80	non Enzyme
P22815	non Enzyme
O94906	non Enzyme
P47061	non Enzyme
Q6Q1P4	non Enzyme
Q9Y3D6	non Enzyme
Q96NG3	non Enzyme
Q9Y6M7	non Enzyme
P18888	non Enzyme
Q04651	non Enzyme
P08182	non Enzyme
P01215	non Enzyme
P0C349	non Enzyme
P10589	non Enzyme
Q04359	non Enzyme
P48096	non Enzyme
O75362	non Enzyme
P54936	non Enzyme
P22139	non Enzyme
O75056	non Enzyme
P34042	non Enzyme
Q9UIL1	non Enzyme
Q9Y5S9	non Enzyme
O80588	non Enzyme
Q9FJ87	non Enzyme
Q9IAC6	non Enzyme
O43603	non Enzyme
Q5A5U4	non Enzyme
Q16531	non Enzyme
P32800	non Enzyme
P49415	non Enzyme
Q8N114	non Enzyme
Q9NSC5	non Enzyme
P59910	non Enzyme
Q13158	non Enzyme
P38830	non Enzyme
Q13017	non Enzyme
Q76EJ3	non Enzyme
Q9Y5Z4	non Enzyme
O75340	non Enzyme
P18627	non Enzyme
O75694	non Enzyme
Q9UJS0	non Enzyme
P39904	non Enzyme
Q9C778	non Enzyme
P61106	non Enzyme
Q9NQ94	non Enzyme
Q13643	non Enzyme
P20851	non Enzyme
Q9NZH6	non Enzyme
Q9P2F6	non Enzyme
Q92990	non Enzyme
Q9VSF2	non Enzyme
P97489	non Enzyme
Q62924	non Enzyme
O88174	non Enzyme
Q9LGE3	non Enzyme
Q9GZT3	non Enzyme
O60443	non Enzyme
Q9UJX0	non Enzyme
Q9YH06	non Enzyme
Q9Y3A6	non Enzyme
Q969L2	non Enzyme
P79345	non Enzyme
Q9ULU4	non Enzyme
P16914	non Enzyme
Q94AS9	non Enzyme
Q8WWQ8	non Enzyme
Q10133	non Enzyme
Q9CZX5	non Enzyme
O15085	non Enzyme
O54701	non Enzyme
Q75JT4	non Enzyme
Q13639	non Enzyme
A2VDJ0	non Enzyme
Q96B42	non Enzyme
Q03155	non Enzyme
Q8T7K0	non Enzyme
Q9H2J7	non Enzyme
Q9Y3C7	non Enzyme
P36613	non Enzyme
O15226	non Enzyme
Q9UBB9	non Enzyme
Q6DVA0	non Enzyme
Q08920	non Enzyme
O75380	non Enzyme
O15405	non Enzyme
Q52085	non Enzyme
P61764	non Enzyme
Q8QFR4	non Enzyme
O08755	non Enzyme
Q9H9H4	non Enzyme
P52890	non Enzyme
Q9M158	non Enzyme
P63172	non Enzyme
P46013	non Enzyme
Q96JY6	non Enzyme
Q8BRU4	non Enzyme
O00461	non Enzyme
Q9UI33	non Enzyme
P40693	non Enzyme
P41133	non Enzyme
Q9P7T4	non Enzyme
P39344	non Enzyme
Q9SNB4	non Enzyme
Q92882	non Enzyme
P03427	non Enzyme
O43927	non Enzyme
Q22836	non Enzyme
Q9P013	non Enzyme
Q9M9E2	non Enzyme
Q9SMH5	non Enzyme
Q7JRE4	non Enzyme
Q92747	non Enzyme
Q9C086	non Enzyme
Q12114	non Enzyme
P52192	non Enzyme
P13892	non Enzyme
P37276	non Enzyme
P56134	non Enzyme
P05787	non Enzyme
Q7Z6M4	non Enzyme
Q9Y266	non Enzyme
Q9EQW6	non Enzyme
Q7Z460	non Enzyme
Q07937	non Enzyme
Q9UBF1	non Enzyme
P10026	non Enzyme
Q8LTE2	non Enzyme
Q9GQF1	non Enzyme
Q96JN2	non Enzyme
Q91WC1	non Enzyme
Q9H2C2	non Enzyme
P53281	non Enzyme
P19339	non Enzyme
Q9GZV4	non Enzyme
Q9BJZ5	non Enzyme
Q6NZ36	non Enzyme
Q9QYN8	non Enzyme
P03126	non Enzyme
Q9Y275	non Enzyme
O61307	non Enzyme
Q9C8N5	non Enzyme
Q04887	non Enzyme
P14064	non Enzyme
Q99N48	non Enzyme
Q9NVM9	non Enzyme
Q24523	non Enzyme
Q9Y6X0	non Enzyme
P36170	non Enzyme
F4IH25	non Enzyme
P61375	non Enzyme
O75865	non Enzyme
Q8N9W6	non Enzyme
P49756	non Enzyme
P14432	non Enzyme
Q99459	non Enzyme
Q9P2K6	non Enzyme
P51610	non Enzyme
Q9Y5K6	non Enzyme
O43687	non Enzyme
Q8RXD4	non Enzyme
Q08412	non Enzyme
P57086	non Enzyme
P01592	non Enzyme
Q9VJE5	non Enzyme
O94684	non Enzyme
Q9FVQ4	non Enzyme
Q3URD3	non Enzyme
O16844	non Enzyme
Q99551	non Enzyme
P98163	non Enzyme
Q9HAF1	non Enzyme
Q8BJS8	non Enzyme
P09616	non Enzyme
O61667	non Enzyme
Q13797	non Enzyme
Q9EPL2	non Enzyme
O42173	non Enzyme
O13351	non Enzyme
G5EGD2	non Enzyme
O15131	non Enzyme
Q9WVB3	non Enzyme
P40225	non Enzyme
Q9UMS0	non Enzyme
O43278	non Enzyme
Q0VG06	non Enzyme
P40305	non Enzyme
P30872	non Enzyme
Q5KU26	non Enzyme
P39984	non Enzyme
P46349	non Enzyme
Q9CPT4	non Enzyme
P15036	non Enzyme
P02887	non Enzyme
Q9LUR4	non Enzyme
Q9FMG4	non Enzyme
Q12287	non Enzyme
P40505	non Enzyme
P01850	non Enzyme
P42519	non Enzyme
Q6PGN9	non Enzyme
Q14181	non Enzyme
P48180	non Enzyme
P85886	non Enzyme
Q6UWI2	non Enzyme
P86146	non Enzyme
O55203	non Enzyme
P09775	non Enzyme
Q1EBV7	non Enzyme
Q9QWY8	non Enzyme
Q63661	non Enzyme
O04017	non Enzyme
P40422	non Enzyme
Q923Z4	non Enzyme
P15927	non Enzyme
Q9H269	non Enzyme
Q8WVK7	non Enzyme
P21333	non Enzyme
O35174	non Enzyme
O14776	non Enzyme
Q54AX5	non Enzyme
O14343	non Enzyme
Q4U4S6	non Enzyme
Q7SZI7	non Enzyme
P83080	non Enzyme
Q09733	non Enzyme
Q9FIW9	non Enzyme
B9EJA2	non Enzyme
O82089	non Enzyme
O14459	non Enzyme
P70390	non Enzyme
Q7L8A9	non Enzyme
Q6P2H3	non Enzyme
O00522	non Enzyme
O75152	non Enzyme
P46689	non Enzyme
Q9W358	non Enzyme
Q9ZNV9	non Enzyme
Q969U6	non Enzyme
P51814	non Enzyme
Q9NQW8	non Enzyme
Q9H7S9	non Enzyme
P19541	non Enzyme
P57679	non Enzyme
O76689	non Enzyme
O59676	non Enzyme
Q9P7X7	non Enzyme
Q9ASS2	non Enzyme
Q9BZF3	non Enzyme
P23385	non Enzyme
Q8AXF4	non Enzyme
Q7TT18	non Enzyme
O00299	non Enzyme
O22703	non Enzyme
O08707	non Enzyme
P48634	non Enzyme
P78539	non Enzyme
Q5T4W7	non Enzyme
F4KDH9	non Enzyme
P06838	non Enzyme
Q8TDD2	non Enzyme
P47002	non Enzyme
P33441	non Enzyme
Q9Y3A0	non Enzyme
Q06679	non Enzyme
Q14643	non Enzyme
P07248	non Enzyme
Q96FZ7	non Enzyme
Q7Z7G0	non Enzyme
O74846	non Enzyme
Q9V637	non Enzyme
Q95QW4	non Enzyme
Q5VWN6	non Enzyme
P43146	non Enzyme
Q92496	non Enzyme
Q5BJF2	non Enzyme
P32505	non Enzyme
O94316	non Enzyme
P17066	non Enzyme
Q6NTE8	non Enzyme
Q59EK9	non Enzyme
Q9VHR6	non Enzyme
P10523	non Enzyme
Q9H4L5	non Enzyme
P08646	non Enzyme
C9JLW8	non Enzyme
Q0VAK6	non Enzyme
Q13112	non Enzyme
Q9S7Q2	non Enzyme
Q9H160	non Enzyme
O15247	non Enzyme
Q61079	non Enzyme
Q09101	non Enzyme
P97838	non Enzyme
P32790	non Enzyme
Q19253	non Enzyme
Q9NQS7	non Enzyme
P30988	non Enzyme
O94827	non Enzyme
Q9H299	non Enzyme
Q9XFD1	non Enzyme
P42167	non Enzyme
Q96S37	non Enzyme
P49804	non Enzyme
Q960V3	non Enzyme
Q08199	non Enzyme
Q9Y6D0	non Enzyme
Q9H0L4	non Enzyme
Q9S773	non Enzyme
Q8N693	non Enzyme
Q9N0Y3	non Enzyme
Q8IVI9	non Enzyme
Q8TEQ6	non Enzyme
Q8TD46	non Enzyme
P13928	non Enzyme
O42410	non Enzyme
Q9BW83	non Enzyme
Q92902	non Enzyme
P49334	non Enzyme
P18124	non Enzyme
Q9NYV6	non Enzyme
Q5PSV4	non Enzyme
Q6P3S1	non Enzyme
Q9Y4G8	non Enzyme
O55003	non Enzyme
P01186	non Enzyme
O13919	non Enzyme
O43617	non Enzyme
Q8L7S9	non Enzyme
P31647	non Enzyme
P04150	non Enzyme
Q06697	non Enzyme
Q4ZHG4	non Enzyme
Q08723	non Enzyme
P23359	non Enzyme
Q9CQY5	non Enzyme
Q9XI00	non Enzyme
A2AF47	non Enzyme
Q96EU6	non Enzyme
P93026	non Enzyme
Q86VP1	non Enzyme
P45592	non Enzyme
Q0GGL7	non Enzyme
Q9Y709	non Enzyme
Q8VE43	non Enzyme
Q8IW35	non Enzyme
P97305	non Enzyme
Q5SIL0	non Enzyme
Q96SB3	non Enzyme
P16241	non Enzyme
Q9GZZ8	non Enzyme
P21827	non Enzyme
Q9P1Z3	non Enzyme
P63000	non Enzyme
Q9SN39	non Enzyme
Q96250	non Enzyme
Q9XH75	non Enzyme
P02845	non Enzyme
Q9BVG8	non Enzyme
P35568	non Enzyme
Q08379	non Enzyme
Q96DE5	non Enzyme
Q9VVT5	non Enzyme
Q7ZV84	non Enzyme
P63218	non Enzyme
E9QJ73	non Enzyme
Q8AV66	non Enzyme
Q07816	non Enzyme
P40014	non Enzyme
Q91Y57	non Enzyme
Q9NRI5	non Enzyme
P31554	non Enzyme
Q9FVW4	non Enzyme
O15342	non Enzyme
Q96I25	non Enzyme
P52756	non Enzyme
Q09722	non Enzyme
Q9UN19	non Enzyme
Q07108	non Enzyme
Q9UK97	non Enzyme
O18973	non Enzyme
P02293	non Enzyme
P46593	non Enzyme
P20226	non Enzyme
Q27294	non Enzyme
O00541	non Enzyme
Q9VZL7	non Enzyme
G5EBK1	non Enzyme
Q9BPX6	non Enzyme
O74560	non Enzyme
Q5T7V8	non Enzyme
Q8IY92	non Enzyme
P56637	non Enzyme
Q80Z19	non Enzyme
P40073	non Enzyme
Q96N16	non Enzyme
P36017	non Enzyme
F8VPN2	non Enzyme
Q6UXG3	non Enzyme
Q8NBT0	non Enzyme
Q9SU40	non Enzyme
Q9NZH7	non Enzyme
Q9VHA0	non Enzyme
Q93ZV7	non Enzyme
Q9SHR7	non Enzyme
Q24046	non Enzyme
O95125	non Enzyme
Q9H329	non Enzyme
Q9M667	non Enzyme
Q86YN6	non Enzyme
Q6ZQE4	non Enzyme
O00161	non Enzyme
O08665	non Enzyme
O43439	non Enzyme
Q96RU8	non Enzyme
Q6ZYL4	non Enzyme
Q13387	non Enzyme
P08318	non Enzyme
P10109	non Enzyme
Q9BU61	non Enzyme
Q9NJG9	non Enzyme
P32867	non Enzyme
Q01860	non Enzyme
Q9ER42	non Enzyme
O15265	non Enzyme
Q5TZK3	non Enzyme
P62879	non Enzyme
Q9ZRE2	non Enzyme
Q9ZQI2	non Enzyme
P15822	non Enzyme
P53540	non Enzyme
P08153	non Enzyme
P55055	non Enzyme
P40957	non Enzyme
P58019	non Enzyme
Q06096	non Enzyme
P49956	non Enzyme
O43749	non Enzyme
P13512	non Enzyme
Q9M670	non Enzyme
Q9Y5X2	non Enzyme
Q9P032	non Enzyme
Q9HBX9	non Enzyme
Q7TN75	non Enzyme
Q59NX5	non Enzyme
P97430	non Enzyme
Q9ZVH4	non Enzyme
Q6UW56	non Enzyme
Q13310	non Enzyme
Q63ZY3	non Enzyme
Q9HVI1	non Enzyme
Q8TCG1	non Enzyme
Q5A1N6	non Enzyme
Q94FL9	non Enzyme
Q7Z3S9	non Enzyme
Q63374	non Enzyme
P36954	non Enzyme
Q9M0Z3	non Enzyme
P35658	non Enzyme
O15467	non Enzyme
Q673G8	non Enzyme
Q9LT31	non Enzyme
P57682	non Enzyme
Q2UVJ5	non Enzyme
P43241	non Enzyme
P27521	non Enzyme
Q94F09	non Enzyme
Q9H9E1	non Enzyme
Q17353	non Enzyme
Q9WVK0	non Enzyme
G5ECZ4	non Enzyme
Q9MZ16	non Enzyme
O95406	non Enzyme
Q4Z8K6	non Enzyme
Q16572	non Enzyme
Q24211	non Enzyme
Q9VHM6	non Enzyme
Q9Y676	non Enzyme
Q9UFW8	non Enzyme
Q8DHA7	non Enzyme
Q9EQG6	non Enzyme
Q2MKA7	non Enzyme
O43490	non Enzyme
P00044	non Enzyme
O60664	non Enzyme
P32780	non Enzyme
P25028	non Enzyme
Q0WP44	non Enzyme
Q9W4D2	non Enzyme
B9EKI3	non Enzyme
Q03825	non Enzyme
P35398	non Enzyme
P01143	non Enzyme
Q14767	non Enzyme
Q9NZ43	non Enzyme
P62081	non Enzyme
Q7M1B9	non Enzyme
P08290	non Enzyme
O80653	non Enzyme
P09603	non Enzyme
O88737	non Enzyme
O80501	non Enzyme
Q9ULM3	non Enzyme
Q9NP97	non Enzyme
Q96RF0	non Enzyme
Q9R1R0	non Enzyme
P07315	non Enzyme
Q9C5J9	non Enzyme
Q7Z465	non Enzyme
P46099	non Enzyme
P0CG37	non Enzyme
P22745	non Enzyme
Q17R60	non Enzyme
P18760	non Enzyme
O15547	non Enzyme
P51948	non Enzyme
P21145	non Enzyme
P41936	non Enzyme
P39958	non Enzyme
P13508	non Enzyme
Q15233	non Enzyme
O14122	non Enzyme
Q9Y5T4	non Enzyme
P00850	non Enzyme
P61278	non Enzyme
Q9CQP2	non Enzyme
Q99523	non Enzyme
Q8C006	non Enzyme
Q96P44	non Enzyme
Q54PQ4	non Enzyme
P17658	non Enzyme
P06734	non Enzyme
P17676	non Enzyme
Q9Y5W5	non Enzyme
O16305	non Enzyme
O77801	non Enzyme
Q9VDS5	non Enzyme
Q8R373	non Enzyme
Q9W1F4	non Enzyme
Q94KD3	non Enzyme
O60486	non Enzyme
Q92911	non Enzyme
Q9LW29	non Enzyme
Q9HBZ2	non Enzyme
Q8VIH1	non Enzyme
O46197	non Enzyme
Q80WJ1	non Enzyme
P38250	non Enzyme
P93484	non Enzyme
Q8N2C7	non Enzyme
Q9UST5	non Enzyme
Q63092	non Enzyme
Q99959	non Enzyme
U3KRF8	non Enzyme
P63104	non Enzyme
P01317	non Enzyme
O95259	non Enzyme
P27600	non Enzyme
Q9WUB5	non Enzyme
Q9SQI2	non Enzyme
O95183	non Enzyme
Q9TZC4	non Enzyme
P35716	non Enzyme
P34130	non Enzyme
P39081	non Enzyme
Q96MH2	non Enzyme
Q8NB59	non Enzyme
P33310	non Enzyme
P38931	non Enzyme
Q6ZRV2	non Enzyme
Q96327	non Enzyme
Q62997	non Enzyme
Q24206	non Enzyme
P23380	non Enzyme
Q59E55	non Enzyme
P03262	non Enzyme
P79119	non Enzyme
P50552	non Enzyme
P25369	non Enzyme
Q8W1Y3	non Enzyme
Q9H6R7	non Enzyme
O60336	non Enzyme
O75022	non Enzyme
Q09274	non Enzyme
P23255	non Enzyme
Q13617	non Enzyme
Q38850	non Enzyme
Q64329	non Enzyme
Q04921	non Enzyme
P04085	non Enzyme
Q33884	non Enzyme
Q9Y679	non Enzyme
Q16661	non Enzyme
P48378	non Enzyme
Q9Y7R3	non Enzyme
Q08923	non Enzyme
Q6DKK2	non Enzyme
Q9VZF4	non Enzyme
O44411	non Enzyme
P35579	non Enzyme
Q8TB45	non Enzyme
Q9P2W9	non Enzyme
Q8JGN5	non Enzyme
Q7TN99	non Enzyme
Q61618	non Enzyme
Q9NQL9	non Enzyme
Q9Y2X0	non Enzyme
P78347	non Enzyme
P36618	non Enzyme
Q0DAJ3	non Enzyme
P10734	non Enzyme
Q96AP0	non Enzyme
P02786	non Enzyme
O61967	non Enzyme
P25293	non Enzyme
Q00619	non Enzyme
O00182	non Enzyme
P29374	non Enzyme
P07280	non Enzyme
Q8IN44	non Enzyme
O00566	non Enzyme
P53741	non Enzyme
Q5QNW6	non Enzyme
Q9UKD1	non Enzyme
Q9P6H9	non Enzyme
P49770	non Enzyme
P48509	non Enzyme
Q96PE1	non Enzyme
Q9VCU7	non Enzyme
Q93VQ0	non Enzyme
P63026	non Enzyme
P42697	non Enzyme
Q05048	non Enzyme
Q9LPL4	non Enzyme
Q8I0G5	non Enzyme
O60711	non Enzyme
Q7XA73	non Enzyme
Q63495	non Enzyme
P39827	non Enzyme
P02566	non Enzyme
Q05516	non Enzyme
P42835	non Enzyme
P20826	non Enzyme
Q0ZS24	non Enzyme
Q9VSH2	non Enzyme
I2G9B4	non Enzyme
Q9Y0A1	non Enzyme
P05204	non Enzyme
Q9BUZ4	non Enzyme
Q6ZMM2	non Enzyme
O14901	non Enzyme
Q02205	non Enzyme
O95452	non Enzyme
Q60780	non Enzyme
Q9WTZ9	non Enzyme
Q96H22	non Enzyme
Q06198	non Enzyme
P32913	non Enzyme
Q08581	non Enzyme
P52747	non Enzyme
Q8NDV7	non Enzyme
P14353	non Enzyme
O75293	non Enzyme
Q923X4	non Enzyme
P13562	non Enzyme
Q9HBE1	non Enzyme
Q9LR64	non Enzyme
Q9M276	non Enzyme
O74854	non Enzyme
Q13304	non Enzyme
Q8MLV1	non Enzyme
Q8IV16	non Enzyme
Q62720	non Enzyme
P0CH90	non Enzyme
Q16143	non Enzyme
P02671	non Enzyme
Q9H2H9	non Enzyme
P11686	non Enzyme
Q869V1	non Enzyme
Q13573	non Enzyme
P48169	non Enzyme
O95758	non Enzyme
O08878	non Enzyme
Q8R2Z0	non Enzyme
O96005	non Enzyme
Q9PTT2	non Enzyme
Q06704	non Enzyme
Q27956	non Enzyme
P48146	non Enzyme
P98153	non Enzyme
Q15555	non Enzyme
P47750	non Enzyme
Q8K0T2	non Enzyme
P30031	non Enzyme
Q5SQP1	non Enzyme
P13469	non Enzyme
P18848	non Enzyme
Q8CCI5	non Enzyme
Q08281	non Enzyme
O15259	non Enzyme
P04000	non Enzyme
P32457	non Enzyme
P29445	non Enzyme
P43088	non Enzyme
Q94K05	non Enzyme
Q7TNI7	non Enzyme
Q38998	non Enzyme
Q9JKS6	non Enzyme
Q96BD0	non Enzyme
P19013	non Enzyme
Q8STE5	non Enzyme
O00244	non Enzyme
Q9BQB4	non Enzyme
P51131	non Enzyme
O76015	non Enzyme
Q92917	non Enzyme
Q24298	non Enzyme
O89109	non Enzyme
P56715	non Enzyme
P47755	non Enzyme
P69771	non Enzyme
Q9NQG7	non Enzyme
O22261	non Enzyme
P54787	non Enzyme
P61364	non Enzyme
P43487	non Enzyme
O87237	non Enzyme
Q9VEX5	non Enzyme
P40563	non Enzyme
P10279	non Enzyme
Q8RWY6	non Enzyme
O00423	non Enzyme
Q5R3F8	non Enzyme
P24587	non Enzyme
P53044	non Enzyme
Q06496	non Enzyme
Q9P000	non Enzyme
Q8BY35	non Enzyme
P54359	non Enzyme
Q9NTN3	non Enzyme
O95777	non Enzyme
P46527	non Enzyme
Q96LA6	non Enzyme
P32349	non Enzyme
P48065	non Enzyme
Q9LNU4	non Enzyme
Q9SI75	non Enzyme
P15891	non Enzyme
Q9FJH5	non Enzyme
Q9H974	non Enzyme
Q00958	non Enzyme
Q22782	non Enzyme
A9YTQ3	non Enzyme
Q08921	non Enzyme
P21374	non Enzyme
Q9ES08	non Enzyme
Q8VHC3	non Enzyme
Q90674	non Enzyme
O60683	non Enzyme
P07713	non Enzyme
Q9I9E1	non Enzyme
Q9U3F4	non Enzyme
Q9UHG0	non Enzyme
Q9H9G7	non Enzyme
Q96UX3	non Enzyme
Q99741	non Enzyme
Q9XF91	non Enzyme
P26992	non Enzyme
B2ZX90	non Enzyme
P21192	non Enzyme
P13205	non Enzyme
P50503	non Enzyme
Q07097	non Enzyme
Q12980	non Enzyme
P91793	non Enzyme
Q56YJ8	non Enzyme
Q93WI2	non Enzyme
Q76N32	non Enzyme
Q08460	non Enzyme
O94534	non Enzyme
P38041	non Enzyme
Q9LFX9	non Enzyme
P29186	non Enzyme
A2AIV8	non Enzyme
O75436	non Enzyme
Q9HCF6	non Enzyme
Q9NP85	non Enzyme
Q07960	non Enzyme
Q5RJ80	non Enzyme
Q9QY76	non Enzyme
P28359	non Enzyme
Q9SGH4	non Enzyme
P78411	non Enzyme
P24335	non Enzyme
Q2KI99	non Enzyme
F4HRV8	non Enzyme
O14543	non Enzyme
P19320	non Enzyme
P39060	non Enzyme
P10146	non Enzyme
Q9UBY5	non Enzyme
O14862	non Enzyme
P60411	non Enzyme
Q08423	non Enzyme
P11695	non Enzyme
P08154	non Enzyme
Q14627	non Enzyme
P14785	non Enzyme
Q14332	non Enzyme
P30411	non Enzyme
Q920P3	non Enzyme
Q06559	non Enzyme
P84029	non Enzyme
Q06449	non Enzyme
P55316	non Enzyme
Q07325	non Enzyme
Q8QL26	non Enzyme
Q8IXF0	non Enzyme
Q12947	non Enzyme
Q99972	non Enzyme
P55769	non Enzyme
Q9H3P7	non Enzyme
Q91ZE9	non Enzyme
O00592	non Enzyme
P20193	non Enzyme
P06844	non Enzyme
